source_value	translation_value
ADAR1-related hereditary spastic paraplegia	Paraplegia espástica hereditária relacionada a ADAR1
ADNP-related blepharophimosis-intellectual disability syndrome	Síndrome de blefarofimose e deficiência intelectual relacionada a ADNP
AGR2-related infantile-onset inflammatory bowel disease	Doença inflamatória intestinal de início na infância relacionada a AGR2
APOB-related familial hypobetalipoproteinemia	Hipobetalipoproteinemia familiar relacionada a APOB
Adult CLN1 disease	Doença CLN1 do adulto
Adult CLN5 disease	Doença CLN5 do adulto
Adult CLN6 disease	Doença CLN6 do adulto
Alazami-Yuan syndrome	Síndrome de Alazami-Yuan
Autosomal dominant ACTN2-related distal myopathy	Miopatia distal relacionada a ACTN2, autossômica dominante
Autosomal dominant congenital myasthenic syndromes due to defective synaptic vesicles exocytosis	Síndromes miastênicas congênitas por exocitose defeituosa de vesículas sinápticas, autossômicas dominantes
Autosomal recessive ACTN2-related distal myopathy	Miopatia distal relacionada a ACTN2, autossômica recessiva
Autosomal recessive KLF1-related severe anemia	Anemia grave relacionada a KLF1, autossômica recessiva
Autosomal recessive congenital myasthenic syndromes due to defective synaptic vesicles exocytosis	Síndromes miastênicas congênitas por exocitose defeituosa de vesículas sinápticas, autossômicas recessivas
BCAS3-related neurodevelopmental disorder	Transtorno do neurodesenvolvimento relacionado a BCAS3
CACNA1C-related isolated congenital Long QT syndrome	Síndrome do QT longo congênita isolada relacionada a CACNA1C
CARD8-related inflammatory bowel disease	Doença inflamatória intestinal relacionada a CARD8
CASQ2-related catecholaminergic polymorphic ventricular tachycardia	Taquicardia ventricular polimórfica catecolaminérgica relacionada a CASQ2
CLN14 disease	Doença CLN14
Calcium release deficiency syndrome	Síndrome de deficiência de liberação de cálcio
Calmodulin-related catecholaminergic polymorphic ventricular tachycardia	Taquicardia ventricular polimórfica catecolaminérgica relacionada à calmodulina
Calmodulin-related isolated congenital long QT syndrome	Síndrome do QT longo congênita isolada relacionada à calmodulina
Charcot-Marie-Tooth disease type 1J	Doença de Charcot-Marie-Tooth tipo 1J
Childhood-onset TK2-related mitochondrial DNA maintenance defect, myopathic form	Defeito de manutenção do DNA mitocondrial relacionado a TK2, forma miopática, de início na infância
Childhood-onset common variable immunodeficiency due to ARHGEF1 deficiency	Imunodeficiência comum variável de início na infância por deficiência de ARHGEF1
Childhood-onset stress-induced neurodegenerative ataxia-seizure syndrome	Síndrome de ataxia e crises epilépticas neurodegenerativa induzida por estresse, de início na infância
Chitayat syndrome	Síndrome de Chitayat
Choroidal and ciliary body melanoma	Melanoma da coroide e do corpo ciliar
Cockayne syndrome type 3	Síndrome de Cockayne tipo 3
Combined immunodeficiency due to COPG1 deficiency	Imunodeficiência combinada por deficiência de COPG1
Combined immunodeficiency due to IKBKA deficiency	Imunodeficiência combinada por deficiência de IKBKA
Combined immunodeficiency due to IKBKB gain-of-function mutation	Imunodeficiência combinada por mutação de ganho de função em IKBKB
Combined immunodeficiency due to NFATC1 deficiency	Imunodeficiência combinada por deficiência de NFATC1
Combined immunodeficiency due to c-REL deficiency	Imunodeficiência combinada por deficiência de c-REL
Combined immunodeficiency due to polymerase delta deficiency	Imunodeficiência combinada por deficiência da polimerase delta
Combined immunodeficiency with early gray hairing	Imunodeficiência combinada com embranquecimento precoce dos cabelos
Combined immunodeficiency with hypo/agammaglobulinemia and opportunistic infections	Imunodeficiência combinada com hipo ou agamaglobulinemia e infecções oportunistas
Combined immunodeficiency-hypogammaglobulinemia due to HELIOS deficiency	Imunodeficiência combinada com hipogamaglobulinemia por deficiência de HELIOS
Combined immunodeficiency-lymphopenia-cancer predisposing syndrome due to AIOLOS deficiency	Síndrome de imunodeficiência combinada, linfopenia e predisposição a câncer por deficiência de AIOLOS
Common variable immunodeficiency due to BAFF-receptor deficiency	Imunodeficiência comum variável por deficiência do receptor de BAFF
Common variable immunodeficiency phenotype due to CD19/CD81 deficiency	Fenótipo de imunodeficiência comum variável por deficiência de CD19 e CD81
Common variable immunodeficiency phenotype due to CD21 deficiency	Fenótipo de imunodeficiência comum variável por deficiência de CD21
Common variable immunodeficiency phenotype due to IRF2BP2 deficiency	Fenótipo de imunodeficiência comum variável por deficiência de IRF2BP2
Common variable immunodeficiency phenotype due to SEC61A1 deficiency	Fenótipo de imunodeficiência comum variável por deficiência de SEC61A1
Common variable immunodeficiency phenotype due to SH3KBP1 deficiency	Fenótipo de imunodeficiência comum variável por deficiência de SH3KBP1
Common variable immunodeficiency phenotype due to TWEAK deficiency	Fenótipo de imunodeficiência comum variável por deficiência de TWEAK
Common variable immunodeficiency phenotype due to homozygous TACI deficiency	Fenótipo de imunodeficiência comum variável por deficiência homozigótica de TACI
Complete congenital stationary night blindness	Cegueira noturna estacionária congênita completa
Congenital CLN1 disease	Doença CLN1 congênita
Congenital amegakaryocytic thrombocytopenia-MPL	Trombocitopenia amegacariocítica congênita por MPL
Congenital amegakaryocytic thrombocytopenia-THPO	Trombocitopenia amegacariocítica congênita por THPO
Congenital diarrhea-chronic gastrointestinal inflammation-ocular dysgenesis syndrome	Síndrome de diarreia congênita, inflamação gastrointestinal crônica e disgenesia ocular
Congenital generalized alopecia-hypoplastic kidneys-facial dysmorphism-sensorineural deafness syndrome	Síndrome de alopecia generalizada congênita, rins hipoplásicos, dismorfismo facial e surdez neurossensorial
Congenital generalized lipodystrophy type 1	Lipodistrofia generalizada congênita tipo 1
Congenital generalized lipodystrophy type 2	Lipodistrofia generalizada congênita tipo 2
Congenital generalized lipodystrophy type 3	Lipodistrofia generalizada congênita tipo 3
Congenital heart defect-ectodermal dysplasia- brachydactyly-telangiectasia syndrome	Síndrome de cardiopatia congênita, displasia ectodérmica, braquidactilia e telangiectasia
Congenital macrothrombocytopenia with focal myelofibrosis	Macrotrombocitopenia congênita com mielofibrose focal
Congenital myasthenic syndrome due to defective nuclear membrane protein	Síndrome miastênica congênita por defeito de proteína da membrana nuclear
Congenital myasthenic syndrome due to defective structural molecule at the neuromuscular junction	Síndrome miastênica congênita por defeito de molécula estrutural da junção neuromuscular
Congenital myasthenic syndrome due to defects in acetylcholine receptor clustering	Síndrome miastênica congênita por defeito no agrupamento de receptores de acetilcolina
Congenital myasthenic syndromes due to a sodium channel 1.4 defect	Síndromes miastênicas congênitas por defeito do canal de sódio 1.4
Congenital myasthenic syndromes due to defective axonal transport	Síndromes miastênicas congênitas por defeito de transporte axonal
